person,dept,eow,cause,cause_short,date,year,dept_name,state
Watch Officer Jonathan Houghton,Boston Watch, MA,EOW: Monday, December 19, 1825,Cause of Death: Assault,Assault,1825-12-19,1825,Boston Watch,MA
Watchman Gerrard Arnold,Alexandria Police Department, VA,EOW: Sunday, September 9, 1827,Cause of Death: Assault,Assault,1827-09-09,1827,Alexandria Police Department,VA
Watchman Steven Heimer,Philadelphia Police Department, PA,EOW: Tuesday, January 8, 1828,Cause of Death: Gunfire,Gunfire,1828-01-08,1828,Philadelphia Police Department,PA
Sheriff Thomas Griffin Thornton,Caroline County Sheriff's Office, VA,EOW: Saturday, June 12, 1830,Cause of Death: Gunfire,Gunfire,1830-06-12,1830,Caroline County Sheriff's Office,VA
Town Sergeant John Smith,Foster Police Department, RI,EOW: Thursday, June 21, 1832,Cause of Death: Assault,Assault,1832-06-21,1832,Foster Police Department,RI
Guard Ezra Hoskins,Connecticut Department of Correction, CT,EOW: Wednesday, May 1, 1833,Cause of Death: Assault,Assault,1833-05-01,1833,Connecticut Department of Correction,CT
Sheriff William Gresham,Harrison County Sheriff's Department, IN,EOW: Thursday, January 23, 1834,Cause of Death: Stabbed,Stabbed,1834-01-23,1834,Harrison County Sheriff's Department,IN
Constable Moore C. Wisdom,Purdy Constable's Office, TN,EOW: Saturday, August 30, 1834,Cause of Death: Stabbed,Stabbed,1834-08-30,1834,Purdy Constable's Office,TN
Watchman Lewis L. Leuba,New York City Watch, NY,EOW: Wednesday, April 13, 1836,Cause of Death: Stabbed,Stabbed,1836-04-13,1836,New York City Watch,NY
Constable William Mull,St. Louis Metropolitan Police Department, MO,EOW: Thursday, April 28, 1836,Cause of Death: Stabbed,Stabbed,1836-04-28,1836,St. Louis Metropolitan Police Department,MO
Deputy Sheriff George Hammond,St. Louis Metropolitan Police Department, MO,EOW: Thursday, April 28, 1836,Cause of Death: Stabbed,Stabbed,1836-04-28,1836,St. Louis Metropolitan Police Department,MO
Watchman Kim Hudson,New York City Watch, NY,EOW: Sunday, August 28, 1836,Cause of Death: Stabbed,Stabbed,1836-08-28,1836,New York City Watch,NY
Private David Clark,Texas Rangers, TX,EOW: Saturday, January 7, 1837,Cause of Death: Gunfire,Gunfire,1837-01-07,1837,Texas Rangers,TX
Second Lieutenant Alfred H. Miles,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Assault,Assault,1837-11-10,1837,Texas Rangers,TX
Private Jesse Blair,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Assault,Assault,1837-11-10,1837,Texas Rangers,TX
Private Alexander Bostwick,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Gunfire,Gunfire,1837-11-10,1837,Texas Rangers,TX
Private James Christian,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Assault,Assault,1837-11-10,1837,Texas Rangers,TX
Private Joseph Cooper,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Gunfire,Gunfire,1837-11-10,1837,Texas Rangers,TX
Private James Joslen,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Assault,Assault,1837-11-10,1837,Texas Rangers,TX
Private Westley Nicholson,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Assault,Assault,1837-11-10,1837,Texas Rangers,TX
Private William Nicholson,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Gunfire,Gunfire,1837-11-10,1837,Texas Rangers,TX
Private William Sanders,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Gunfire,Gunfire,1837-11-10,1837,Texas Rangers,TX
Private Lewis F. Scheuster,Texas Rangers, TX,EOW: Friday, November 10, 1837,Cause of Death: Assault,Assault,1837-11-10,1837,Texas Rangers,TX
Deputy Sheriff Nester Young,Ashtabula County Sheriff's Department, OH,EOW: Monday, January 15, 1838,Cause of Death: Gunfire,Gunfire,1838-01-15,1838,Ashtabula County Sheriff's Department,OH
Private Julius Bullock,Texas Rangers, TX,EOW: Friday, October 12, 1838,Cause of Death: Assault,Assault,1838-10-12,1838,Texas Rangers,TX
Private John W. Carpenter,Texas Rangers, TX,EOW: Friday, October 12, 1838,Cause of Death: Assault,Assault,1838-10-12,1838,Texas Rangers,TX
Private Thomas M. Scott,Texas Rangers, TX,EOW: Friday, October 12, 1838,Cause of Death: Assault,Assault,1838-10-12,1838,Texas Rangers,TX
Private John Wilson,Texas Rangers, TX,EOW: Friday, October 12, 1838,Cause of Death: Assault,Assault,1838-10-12,1838,Texas Rangers,TX
Private James Hall,Texas Rangers, TX,EOW: Monday, December 17, 1838,Cause of Death: Assault,Assault,1838-12-17,1838,Texas Rangers,TX
Captain Jacob Shipman Burleson,Texas Rangers, TX,EOW: Monday, February 25, 1839,Cause of Death: Gunfire,Gunfire,1839-02-25,1839,Texas Rangers,TX
Private Edward Blakey,Texas Rangers, TX,EOW: Monday, February 25, 1839,Cause of Death: Gunfire,Gunfire,1839-02-25,1839,Texas Rangers,TX
Private John B. Walters,Texas Rangers, TX,EOW: Monday, February 25, 1839,Cause of Death: Gunfire,Gunfire,1839-02-25,1839,Texas Rangers,TX
Private James Gilleland,Texas Rangers, TX,EOW: Thursday, March 7, 1839,Cause of Death: Gunfire,Gunfire,1839-03-07,1839,Texas Rangers,TX
Captain John Bird,Texas Rangers, TX,EOW: Sunday, May 26, 1839,Cause of Death: Assault,Assault,1839-05-26,1839,Texas Rangers,TX
First Sergeant William H. Weaver,Texas Rangers, TX,EOW: Sunday, May 26, 1839,Cause of Death: Gunfire,Gunfire,1839-05-26,1839,Texas Rangers,TX
Private Jesse E. Nash,Texas Rangers, TX,EOW: Sunday, May 26, 1839,Cause of Death: Assault,Assault,1839-05-26,1839,Texas Rangers,TX
Private Thomas Gay,Texas Rangers, TX,EOW: Sunday, May 26, 1839,Cause of Death: Gunfire,Gunfire,1839-05-26,1839,Texas Rangers,TX
Private H. M. C. Hall,Texas Rangers, TX,EOW: Monday, May 27, 1839,Cause of Death: Gunfire,Gunfire,1839-05-27,1839,Texas Rangers,TX
Watchman James P. Van Duzen,New York City Watch, NY,EOW: Tuesday, June 25, 1839,Cause of Death: Fall,Fall,1839-06-25,1839,New York City Watch,NY
Sheriff Joseph L. Hood,Bexar County Sheriff's Office, TX,EOW: Thursday, March 19, 1840,Cause of Death: Stabbed,Stabbed,1840-03-19,1840,Bexar County Sheriff's Office,TX
Town Marshal John Yeomans,Jacksonville Police Department, FL,EOW: Sunday, May 24, 1840,Cause of Death: Gunfire,Gunfire,1840-05-24,1840,Jacksonville Police Department,FL
Sheriff John B. Campbell,Harrison County Sheriff's Office, TX,EOW: Saturday, January 23, 1841,Cause of Death: Gunfire,Gunfire,1841-01-23,1841,Harrison County Sheriff's Office,TX
Guard Cyrus Sells,Ohio Department of Rehabilitation and Correction, OH,EOW: Wednesday, June 9, 1841,Cause of Death: Assault,Assault,1841-06-09,1841,Ohio Department of Rehabilitation and Correction,OH
Prison Guard William Bullard,Missouri Department of Corrections, MO,EOW: Monday, June 14, 1841,Cause of Death: Assault,Assault,1841-06-14,1841,Missouri Department of Corrections,MO
Private Abram Trigg Smith,Texas Rangers, TX,EOW: Thursday, August 5, 1841,Cause of Death: Gunfire,Gunfire,1841-08-05,1841,Texas Rangers,TX
Sheriff Thomas Wooldridge,Dubois County Sheriff's Department, IN,EOW: Thursday, May 19, 1842,Cause of Death: Gunfire,Gunfire,1842-05-19,1842,Dubois County Sheriff's Department,IN
Warden Charles Lincoln, Jr.,Massachusetts Department of Correction, MA,EOW: Sunday, June 18, 1843,Cause of Death: Stabbed,Stabbed,1843-06-18,1843,Massachusetts Department of Correction,MA
Sheriff Samuel B. Wingo,Shannon County Sheriff's Department, MO,EOW: Thursday, August 31, 1843,Cause of Death: Gunfire,Gunfire,1843-08-31,1843,Shannon County Sheriff's Department,MO
Sheriff George Lee Phillips,Ashe County Sheriff's Office, NC,EOW: Saturday, September 23, 1843,Cause of Death: Drowned,Drowned,1843-09-23,1843,Ashe County Sheriff's Office,NC
Sheriff Robert D. Lester,Crawford County Sheriff's Department, WI,EOW: Thursday, March 21, 1844,Cause of Death: Gunfire,Gunfire,1844-03-21,1844,Crawford County Sheriff's Department,WI
Sheriff Lewis Williams,Jackson County Sheriff's Department, FL,EOW: Friday, April 26, 1844,Cause of Death: Gunfire,Gunfire,1844-04-26,1844,Jackson County Sheriff's Department,FL
Private Peter Fohr,Texas Rangers, TX,EOW: Saturday, June 8, 1844,Cause of Death: Assault,Assault,1844-06-08,1844,Texas Rangers,TX
Keeper James Gastin,Pennsylvania Department of Corrections, PA,EOW: Thursday, October 31, 1844,Cause of Death: Assault,Assault,1844-10-31,1844,Pennsylvania Department of Corrections,PA
Undersheriff Osman N. Steele,Delaware County Sheriff's Office, NY,EOW: Thursday, August 7, 1845,Cause of Death: Gunfire,Gunfire,1845-08-07,1845,Delaware County Sheriff's Office,NY
Constable John Holton,Augusta Police Department, KY,EOW: Monday, November 24, 1845,Cause of Death: Stabbed,Stabbed,1845-11-24,1845,Augusta Police Department,KY
Sheriff Lansford Stallings,Cherokee County Sheriff's Office, AL,EOW: Thursday, December 4, 1845,Cause of Death: Gunfire,Gunfire,1845-12-04,1845,Cherokee County Sheriff's Office,AL
Sheriff Samuel Grimmett,Montgomery County Sheriff's Office, TX,EOW: Sunday, April 11, 1847,Cause of Death: Gunfire,Gunfire,1847-04-11,1847,Montgomery County Sheriff's Office,TX
Deputy Sheriff William Armstrong,Hampshire County Sheriff's Office, VA,EOW: Friday, June 25, 1847,Cause of Death: Gunfire,Gunfire,1847-06-25,1847,Hampshire County Sheriff's Office,VA
Sheriff Enoch B. Morelock,Sullivan County Sheriff's Office, MO,EOW: Sunday, December 19, 1847,Cause of Death: Gunfire,Gunfire,1847-12-19,1847,Sullivan County Sheriff's Office,MO
Watchman David Estes,Boston Watch, MA,EOW: Thursday, April 27, 1848,Cause of Death: Gunfire,Gunfire,1848-04-27,1848,Boston Watch,MA
Watchman John Brasher,Cincinnati Police Department, OH,EOW: Sunday, May 6, 1849,Cause of Death: Gunfire,Gunfire,1849-05-06,1849,Cincinnati Police Department,OH
Watchman Peter Davison,Cincinnati Police Department, OH,EOW: Monday, June 25, 1849,Cause of Death: Stabbed,Stabbed,1849-06-25,1849,Cincinnati Police Department,OH
Patrolman Thomas Lynch,New York Municipal Police Force, NY,EOW: Thursday, September 27, 1849,Cause of Death: Assault,Assault,1849-09-27,1849,New York Municipal Police Force,NY
Patrolman William Helms,New York Municipal Police Force, NY,EOW: Tuesday, October 16, 1849,Cause of Death: Structure collapse,Structure collapse,1849-10-16,1849,New York Municipal Police Force,NY
Major Charles Grandison Bryant,Texas Rangers, TX,EOW: Saturday, January 12, 1850,Cause of Death: Assault,Assault,1850-01-12,1850,Texas Rangers,TX
Police Officer Ephraim Hibler,St. Louis Metropolitan Police Department, MO,EOW: Sunday, May 26, 1850,Cause of Death: Gunfire,Gunfire,1850-05-26,1850,St. Louis Metropolitan Police Department,MO
Private William Gillespie,Texas Rangers, TX,EOW: Wednesday, May 29, 1850,Cause of Death: Assault,Assault,1850-05-29,1850,Texas Rangers,TX
Sheriff Joseph McKinney,Sacramento County Sheriff's Department, CA,EOW: Thursday, August 15, 1850,Cause of Death: Gunfire,Gunfire,1850-08-15,1850,Sacramento County Sheriff's Department,CA
Private John Lemon Wilbarger,Texas Rangers, TX,EOW: Tuesday, August 20, 1850,Cause of Death: Gunfire,Gunfire,1850-08-20,1850,Texas Rangers,TX
"Private Daniel C. ""Doc"" Sullivan",Texas Rangers, TX,EOW: Tuesday, August 20, 1850,Cause of Death: Gunfire,Gunfire,1850-08-20,1850,Texas Rangers,TX
Private Samuel Baker Barton,Texas Rangers, TX,EOW: Monday, January 27, 1851,Cause of Death: Assault,Assault,1851-01-27,1851,Texas Rangers,TX
Private William Lackey,Texas Rangers, TX,EOW: Monday, February 3, 1851,Cause of Death: Assault,Assault,1851-02-03,1851,Texas Rangers,TX
Patrolman George T. Gillespie,New York Municipal Police Force, NY,EOW: Thursday, July 10, 1851,Cause of Death: Assault,Assault,1851-07-10,1851,New York Municipal Police Force,NY
Sergeant Michael Foster,New York Municipal Police Force, NY,EOW: Monday, August 4, 1851,Cause of Death: Stabbed,Stabbed,1851-08-04,1851,New York Municipal Police Force,NY
Deputy Sheriff David Neil,Smith County Sheriff's Office, TX,EOW: Saturday, September 27, 1851,Cause of Death: Gunfire,Gunfire,1851-09-27,1851,Smith County Sheriff's Office,TX
Deputy Sheriff James Holden,Smith County Sheriff's Office, TX,EOW: Saturday, September 27, 1851,Cause of Death: Gunfire,Gunfire,1851-09-27,1851,Smith County Sheriff's Office,TX
Night Policeman William Baker,Philadelphia Police Department, PA,EOW: Friday, December 26, 1851,Cause of Death: Fire,Fire,1851-12-26,1851,Philadelphia Police Department,PA
Sheriff James Preston Fulkerson,Calhoun County Sheriff's Office, TX,EOW: Sunday, April 4, 1852,Cause of Death: Gunfire,Gunfire,1852-04-04,1852,Calhoun County Sheriff's Office,TX
Deputy Sheriff Moses Formwalt,DeKalb County Sheriff's Office, GA,EOW: Saturday, May 1, 1852,Cause of Death: Stabbed,Stabbed,1852-05-01,1852,DeKalb County Sheriff's Office,GA
Watchman William T. Pullan,Providence City Watch, RI,EOW: Tuesday, May 18, 1852,Cause of Death: Assault,Assault,1852-05-18,1852,Providence City Watch,RI
Constable Gideon Manchester,Fall River Police Department, MA,EOW: Friday, July 16, 1852,Cause of Death: Gunfire,Gunfire,1852-07-16,1852,Fall River Police Department,MA
Watchman Joseph Stoddard,Cincinnati Police Department, OH,EOW: Friday, September 10, 1852,Cause of Death: Stabbed,Stabbed,1852-09-10,1852,Cincinnati Police Department,OH
Deputy Sheriff Wesley F. Cherry,King County Sheriff's Office, WA,EOW: Sunday, March 6, 1853,Cause of Death: Gunfire,Gunfire,1853-03-06,1853,King County Sheriff's Office,WA
Night Watchman Samuel H. Ferguson,Pittsburgh Night Watch, PA,EOW: Thursday, April 21, 1853,Cause of Death: Stabbed,Stabbed,1853-04-21,1853,Pittsburgh Night Watch,PA
Deputy Sheriff Rodney Badger,Salt Lake County Sheriff's Office, UT,EOW: Friday, April 29, 1853,Cause of Death: Drowned,Drowned,1853-04-29,1853,Salt Lake County Sheriff's Office,UT
Shadow George Trenchard,New York Municipal Police Force, NY,EOW: Thursday, June 2, 1853,Cause of Death: Fire,Fire,1853-06-02,1853,New York Municipal Police Force,NY
Watchman John Osborne,Cleveland Police Department, OH,EOW: Thursday, December 1, 1853,Cause of Death: Stabbed,Stabbed,1853-12-01,1853,Cleveland Police Department,OH
Constable James Quinn,Chicago Police Department, IL,EOW: Monday, December 5, 1853,Cause of Death: Assault,Assault,1853-12-05,1853,Chicago Police Department,IL
Constable Jack Wheelan,Los Angeles County Constable's Office, CA,EOW: Wednesday, December 7, 1853,Cause of Death: Stabbed,Stabbed,1853-12-07,1853,Los Angeles County Constable's Office,CA
Police Officer George R. Turner,Stockton Police Department, CA,EOW: Friday, April 14, 1854,Cause of Death: Gunfire,Gunfire,1854-04-14,1854,Stockton Police Department,CA
Officer Cyrus Beebe,Columbus Division of Police, OH,EOW: Thursday, April 27, 1854,Cause of Death: Gunfire,Gunfire,1854-04-27,1854,Columbus Division of Police,OH
Constable William H. Hardmount,Monterey County Constable's Office, CA,EOW: Saturday, September 2, 1854,Cause of Death: Gunfire,Gunfire,1854-09-02,1854,Monterey County Constable's Office,CA
Patrolman Casper Lauer,Chicago Police Department, IL,EOW: Monday, September 18, 1854,Cause of Death: Stabbed,Stabbed,1854-09-18,1854,Chicago Police Department,IL
Patrolman James Cahill,New York Municipal Police Force, NY,EOW: Friday, September 29, 1854,Cause of Death: Gunfire,Gunfire,1854-09-29,1854,New York Municipal Police Force,NY
Police Officer Maxwell Badgley,Newark Police Department, NJ,EOW: Monday, October 23, 1854,Cause of Death: Stabbed,Stabbed,1854-10-23,1854,Newark Police Department,NJ
Patrolman David Gourley,New York Municipal Police Force, NY,EOW: Sunday, November 5, 1854,Cause of Death: Stabbed,Stabbed,1854-11-05,1854,New York Municipal Police Force,NY
Deputy Sheriff William Harrison Reams,Laurel County Sheriff's Department, KY,EOW: Friday, November 24, 1854,Cause of Death: Stabbed,Stabbed,1854-11-24,1854,Laurel County Sheriff's Department,KY
Policeman John Sheldon,Sonora Police Department, CA,EOW: Sunday, April 29, 1855,Cause of Death: Stabbed,Stabbed,1855-04-29,1855,Sonora Police Department,CA
Sheriff William A. Phoenix,Amador County Sheriff's Department, CA,EOW: Sunday, August 12, 1855,Cause of Death: Gunfire,Gunfire,1855-08-12,1855,Amador County Sheriff's Department,CA
Private William H. Clopton,Texas Rangers, TX,EOW: Wednesday, October 3, 1855,Cause of Death: Gunfire,Gunfire,1855-10-03,1855,Texas Rangers,TX
Private Willis E. Jones,Texas Rangers, TX,EOW: Wednesday, October 3, 1855,Cause of Death: Gunfire,Gunfire,1855-10-03,1855,Texas Rangers,TX
Private H. K. Holland,Texas Rangers, TX,EOW: Wednesday, October 3, 1855,Cause of Death: Gunfire,Gunfire,1855-10-03,1855,Texas Rangers,TX
Private Augustus Smith,Texas Rangers, TX,EOW: Wednesday, October 3, 1855,Cause of Death: Gunfire,Gunfire,1855-10-03,1855,Texas Rangers,TX
Deputy Sheriff Charles Layton,Monterey County Sheriff's Department, CA,EOW: Saturday, November 10, 1855,Cause of Death: Gunfire,Gunfire,1855-11-10,1855,Monterey County Sheriff's Department,CA
Deputy Sheriff Joaquin De La Torre,Monterey County Sheriff's Department, CA,EOW: Saturday, November 10, 1855,Cause of Death: Gunfire,Gunfire,1855-11-10,1855,Monterey County Sheriff's Department,CA
Deputy Sheriff Jim Beckwith,Monterey County Sheriff's Department, CA,EOW: Saturday, November 10, 1855,Cause of Death: Gunfire,Gunfire,1855-11-10,1855,Monterey County Sheriff's Department,CA
Night Watchman Thomas Cummins,New Haven Police Department, CT,EOW: Saturday, November 24, 1855,Cause of Death: Assault,Assault,1855-11-24,1855,New Haven Police Department,CT
Police Officer Alexander Algeo,New Orleans Police Department, LA,EOW: Wednesday, March 26, 1856,Cause of Death: Gunfire,Gunfire,1856-03-26,1856,New Orleans Police Department,LA
Lieutenant Levi Parker,Cincinnati Police Department, OH,EOW: Sunday, May 4, 1856,Cause of Death: Gunfire,Gunfire,1856-05-04,1856,Cincinnati Police Department,OH
Watchman Neil Mooney,Philadelphia Police Department, PA,EOW: Sunday, May 25, 1856,Cause of Death: Gunfire,Gunfire,1856-05-25,1856,Philadelphia Police Department,PA
City Marshal David Johnson,Nevada City Police Department, CA,EOW: Monday, November 3, 1856,Cause of Death: Gunfire,Gunfire,1856-11-03,1856,Nevada City Police Department,CA
Sheriff W. W. Wright,Nevada County Sheriff's Office, CA,EOW: Monday, November 3, 1856,Cause of Death: Gunfire,Gunfire,1856-11-03,1856,Nevada County Sheriff's Office,CA
Sheriff John F. Taylor,Winnebago County Sheriff's Office, IL,EOW: Tuesday, November 11, 1856,Cause of Death: Gunfire,Gunfire,1856-11-11,1856,Winnebago County Sheriff's Office,IL
Night Watchman John Omayer,Baltimore City Police Department, MD,EOW: Thursday, November 13, 1856,Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1856-11-13,1856,Baltimore City Police Department,MD
Police Officer William I. Van Arsdale,New Brunswick Police Department, NJ,EOW: Sunday, December 7, 1856,Cause of Death: Drowned,Drowned,1856-12-07,1856,New Brunswick Police Department,NJ
Deputy Warden Galen Carter Walker,Massachusetts Department of Correction, MA,EOW: Monday, December 15, 1856,Cause of Death: Stabbed,Stabbed,1856-12-15,1856,Massachusetts Department of Correction,MA
Warden Solon Tenney,Massachusetts Department of Correction, MA,EOW: Monday, December 29, 1856,Cause of Death: Stabbed,Stabbed,1856-12-29,1856,Massachusetts Department of Correction,MA
Sheriff James R. Barton,Los Angeles County Sheriff's Department, CA,EOW: Friday, January 23, 1857,Cause of Death: Gunfire,Gunfire,1857-01-23,1857,Los Angeles County Sheriff's Department,CA
Constable Charles K. Baker,Los Angeles County Sheriff's Department, CA,EOW: Friday, January 23, 1857,Cause of Death: Gunfire,Gunfire,1857-01-23,1857,Los Angeles County Sheriff's Department,CA
Deputy Charles T. Daly,Los Angeles County Sheriff's Department, CA,EOW: Friday, January 23, 1857,Cause of Death: Gunfire,Gunfire,1857-01-23,1857,Los Angeles County Sheriff's Department,CA
Constable William H. Little,Los Angeles County Sheriff's Department, CA,EOW: Friday, January 23, 1857,Cause of Death: Gunfire,Gunfire,1857-01-23,1857,Los Angeles County Sheriff's Department,CA
Sheriff James M. Land,Estill County Sheriff's Department, KY,EOW: Sunday, March 22, 1857,Cause of Death: Gunfire,Gunfire,1857-03-22,1857,Estill County Sheriff's Department,KY
Deputy Sheriff Jessie Arvin,Estill County Sheriff's Department, KY,EOW: Sunday, March 22, 1857,Cause of Death: Gunfire,Gunfire,1857-03-22,1857,Estill County Sheriff's Department,KY
Patrolman Stephen P. Hardenbrook,New York Municipal Police Force, NY,EOW: Wednesday, April 15, 1857,Cause of Death: Stabbed,Stabbed,1857-04-15,1857,New York Municipal Police Force,NY
Deputized Civilian William B.M. Barbee,Burleson County Constable's Office - Precinct 3, TX,EOW: Sunday, May 24, 1857,Cause of Death: Gunfire,Gunfire,1857-05-24,1857,Burleson County Constable's Office - Precinct 3,TX
Assistant City Marshal Frederick W. Fieldstrup,San Antonio Police Department, TX,EOW: Friday, May 29, 1857,Cause of Death: Gunfire,Gunfire,1857-05-29,1857,San Antonio Police Department,TX
Special Patrolman Thomas Sparks,New York Metropolitan Police Force, NY,EOW: Thursday, July 9, 1857,Cause of Death: Assault,Assault,1857-07-09,1857,New York Metropolitan Police Force,NY
Patrolman Eugene Anderson,New York Metropolitan Police Force, NY,EOW: Monday, July 20, 1857,Cause of Death: Gunfire,Gunfire,1857-07-20,1857,New York Metropolitan Police Force,NY
Sergeant William Jourdan,Baltimore City Police Department, MD,EOW: Wednesday, October 14, 1857,Cause of Death: Gunfire,Gunfire,1857-10-14,1857,Baltimore City Police Department,MD
Patrolman Ezekiel Wentworth Hodsdon,Boston Police Department, MA,EOW: Sunday, October 18, 1857,Cause of Death: Gunfire,Gunfire,1857-10-18,1857,Boston Police Department,MA
Patrolman Horatio Sanger,New York Metropolitan Police Force, NY,EOW: Sunday, November 22, 1857,Cause of Death: Assault,Assault,1857-11-22,1857,New York Metropolitan Police Force,NY
Sheriff William C. Getman,Los Angeles County Sheriff's Department, CA,EOW: Thursday, January 7, 1858,Cause of Death: Gunfire,Gunfire,1858-01-07,1858,Los Angeles County Sheriff's Department,CA
Sheriff Samuel Lee Lockhart,Llano County Sheriff's Office, TX,EOW: Saturday, January 9, 1858,Cause of Death: Stabbed,Stabbed,1858-01-09,1858,Llano County Sheriff's Office,TX
Special Police Officer George C. Chapman,Sacramento Police Department, CA,EOW: Tuesday, April 27, 1858,Cause of Death: Gunfire,Gunfire,1858-04-27,1858,Sacramento Police Department,CA
Private William Earbee,Texas Rangers, TX,EOW: Wednesday, May 5, 1858,Cause of Death: Gunfire (Accidental),Gunfire (Accidental),1858-05-05,1858,Texas Rangers,TX
Private Robert Nickles,Texas Rangers, TX,EOW: Wednesday, May 12, 1858,Cause of Death: Stabbed,Stabbed,1858-05-12,1858,Texas Rangers,TX
Private Waco Indian,Texas Rangers, TX,EOW: Wednesday, May 12, 1858,Cause of Death: Gunfire,Gunfire,1858-05-12,1858,Texas Rangers,TX
City Marshal Joseph Beard,Lexington Police Department, KY,EOW: Saturday, July 10, 1858,Cause of Death: Stabbed,Stabbed,1858-07-10,1858,Lexington Police Department,KY
Deputy Sheriff Travis Gibson,Campbell County Sheriff's Office, TN,EOW: Tuesday, August 3, 1858,Cause of Death: Stabbed,Stabbed,1858-08-03,1858,Campbell County Sheriff's Office,TN
Sheriff Sampson D. Queener,Campbell County Sheriff's Office, TN,EOW: Tuesday, August 3, 1858,Cause of Death: Stabbed,Stabbed,1858-08-03,1858,Campbell County Sheriff's Office,TN
Patrolman George Coulter,Louisville Police Department, KY,EOW: Tuesday, August 17, 1858,Cause of Death: Gunfire,Gunfire,1858-08-17,1858,Louisville Police Department,KY
Police Officer Benjamin Benton,Baltimore City Police Department, MD,EOW: Wednesday, September 22, 1858,Cause of Death: Gunfire,Gunfire,1858-09-22,1858,Baltimore City Police Department,MD
Police Officer William Cooke,Salt Lake City Police Department, UT,EOW: Monday, October 18, 1858,Cause of Death: Gunfire,Gunfire,1858-10-18,1858,Salt Lake City Police Department,UT
